state_fips,county_fips,census_year,pnsp_year,harvested_cropland_acres,group_acres,coverage,n_crop_groups,n_suppressed_crop_records,shannon_H,effective_n_crops,top1_share,top3_share,dominant_crop,stratum,high_input_acres,high_input_share,total_kg_high,insecticide_kg_high,neonic_kg_high,insecticide_kg_low,insecticide_g_per_acre_high,insecticide_g_per_acre_low,total_g_per_acre_high
10,5,2017,2018,235749.0,258048.0,1.094588,9,8,1.331739,3.787623,0.437791,0.87109,Corn,Corn / soybean,20777.0,0.080516,215930.1,2032.5,0.0,4382.1,8.621458,18.58799,915.932199
12,1,2017,2018,38056.0,35305.0,0.927712,8,6,1.281157,3.600802,0.656876,0.803002,Hay & haylage,Hay & small grains,8653.0,0.245093,58922.7,2769.5,268.8,2208.5,72.774333,58.032899,1548.31564
12,13,2017,2018,22175.0,20373.0,0.918737,8,2,1.117375,3.05682,0.441761,0.988612,Cotton,Southern row crops,16097.0,0.790114,73311.0,5722.4,277.1,4542.0,258.05637,204.825254,3306.020293
12,15,2017,2018,12066.0,11435.0,0.947704,2,3,0.454643,1.575611,0.830783,1.0,Orchards (fruit & tree nuts),Specialty (veg / orchard / berry),11435.0,1.0,303704.5,7880.5,557.1,6577.2,653.116194,545.101939,25170.271838
12,21,2017,2018,39655.0,40642.0,1.02489,5,1,0.59531,1.813594,0.741007,0.998081,Orchards (fruit & tree nuts),Specialty (veg / orchard / berry),40483.0,0.996088,964752.2,17045.5,1385.6,14727.5,429.844912,371.390745,24328.639516
12,23,2017,2018,24243.0,23422.0,0.966135,7,4,1.147855,3.151427,0.618777,0.901417,Hay & haylage,Hay & small grains,6418.0,0.274016,44864.5,1889.5,136.3,836.1,77.940024,34.488306,1850.616673
12,27,2017,2018,65363.0,61972.0,0.94812,4,1,0.549209,1.731882,0.822468,0.99887,Orchards (fruit & tree nuts),Specialty (veg / orchard / berry),52686.0,0.850158,1003467.6,29104.2,1200.5,24949.8,445.27026,381.711366,15352.226795
12,33,2017,2018,26449.0,26343.0,0.995992,7,1,1.246452,3.47798,0.437308,0.945792,Cotton,Southern row crops,21688.0,0.823293,147074.2,9135.9,521.9,7222.7,345.415706,273.080268,5560.671481
12,41,2017,2018,31494.0,29716.0,0.943545,7,4,1.42908,4.174856,0.36371,0.847187,Peanuts,Southern row crops,14451.0,0.486304,66217.1,3507.3,368.3,2453.3,111.364069,77.897377,2102.530641
12,47,2017,2018,22756.0,21453.0,0.94274,7,5,1.39964,4.053741,0.394956,0.865613,Peanuts,Southern row crops,12469.0,0.581224,67574.1,2472.9,218.2,785.8,108.670241,34.531552,2969.506943
12,49,2017,2018,54322.0,52944.0,0.974633,6,0,0.682334,1.978489,0.778086,0.983908,Orchards (fruit & tree nuts),Specialty (veg / orchard / berry),42977.0,0.811744,895764.1,22161.1,1011.9,18780.5,407.958102,345.725489,16489.895438
12,57,2017,2018,35460.0,31821.0,0.897377,7,5,1.400951,4.059058,0.328557,0.823953,Vegetables,Specialty (veg / orchard / berry),24816.0,0.779862,2106143.7,17116.5,1892.0,12456.3,482.698816,351.277496,59394.915398
12,59,2017,2018,27482.0,28531.0,1.03817,10,2,1.561576,4.766329,0.446602,0.80891,Hay & haylage,Hay & small grains,10807.0,0.378781,98549.5,4269.2,293.4,3000.4,155.345317,109.176916,3585.965359
12,61,2017,2018,44788.0,43233.0,0.965281,6,1,0.392078,1.480053,0.919413,0.964934,Orchards (fruit & tree nuts),Specialty (veg / orchard / berry),39769.0,0.919876,1037787.5,36874.0,1989.0,29632.7,823.300884,661.621416,23171.1061
12,63,2017,2018,119236.0,120046.0,1.006793,10,2,1.468392,4.342249,0.355714,0.877739,Peanuts,Southern row crops,92170.0,0.767789,441740.5,29762.1,1687.3,22364.2,249.606662,187.562481,3704.757791
12,65,2017,2018,11225.0,11113.0,0.990022,9,1,1.810029,6.110627,0.282192,0.639341,Hay & haylage,Hay & small grains,5574.0,0.501575,39803.8,2369.1,160.4,1970.0,211.055679,175.501114,3545.995546
