cycle,n,n_eff,pct_deficient,ci_lo,ci_hi,median_ferritin
2005-2006,2345,1167,13.964734354392045,11.976388761911423,15.953079946872665,33.0
2007-2008,1821,1183,15.474542245610861,13.41327031512248,17.535814176099244,34.0
2009-2010,2131,1464,16.49739051323168,14.596041220364988,18.398739806098373,37.0
2015-2016,1933,1168,16.811200345789185,14.666459321352091,18.955941370226277,36.2
2017-2018,1679,883,15.00608261802843,12.650029532154877,17.36213570390198,35.0
2017-2020,2732,1314,14.755824395693121,12.83791377222519,16.67373501916105,36.6
2021-2023,1688,1159,14.574811018535383,12.543644355962746,16.60597768110802,39.2
