normalized,pnsp_compound,pur_chemname,pur_chem_code,cfr180_chemical,cfr180_section,n_sources
AMINOETHYLPIPERAZINE,,AMINOETHYLPIPERAZINE,6271,,,1
AMINOMETHYLPHOSPHONIC,,AMINOMETHYLPHOSPHONIC ACID,6049,,,1
AMINOPYRALID,AMINOPYRALID,AMINOPYRALID,5927,Aminopyralid,180.61,3
AMINOPYRALIDPOTASSIUM,,AMINOPYRALID POTASSIUM,6427,,,1
AMINOPYRALIDTRIISOPROPANOLAMINE,,"AMINOPYRALID, TRIISOPROPANOLAMINE SALT",5928,,,1
AMISULBROM,,,,Amisulbrom,180.656,1
AMITRAZ,,AMITRAZ,2016,Amitraz,180.287,2
AMITROLE,,AMITROLE,20,,,1
AMMONIA,,AMMONIA,22,,,1
AMMONIATEDCASEINATE,,AMMONIATED CASEINATE,3579,,,1
AMMONIUMACETATE,,AMMONIUM ACETATE,3036,,,1
AMMONIUMALUM,,AMMONIUM ALUM,3037,,,1
AMMONIUMARSENATE,,AMMONIUM ARSENATE,2380,,,1
AMMONIUMBICARBONATE,,AMMONIUM BICARBONATE,3038,,,1
AMMONIUMBISULFATE,,AMMONIUM BISULFATE,3039,,,1
AMMONIUMBROMIDE,,AMMONIUM BROMIDE,3040,,,1
AMMONIUMCARBAMATE,,AMMONIUM CARBAMATE,3041,,,1
AMMONIUMCARBONATE,,AMMONIUM CARBONATE,3042,,,1
AMMONIUMCHLORIDE,,AMMONIUM CHLORIDE,3043,,,1
AMMONIUMCITRATE,,AMMONIUM CITRATE,3044,,,1
AMMONIUMDIISODECYLSULFOSUCCINATE,,AMMONIUM DIISODECYL SULFOSUCCINATE,3045,,,1
AMMONIUMDODECYLPOLYOXYETHYLENESULFATE,,AMMONIUM DODECYL POLY OXYETHYLENE SULFATE,3046,,,1
AMMONIUMFERRICSULFATE,,AMMONIUM FERRIC SULFATE,3047,,,1
AMMONIUMFLUOSILICATE,,AMMONIUM FLUOSILICATE,695,,,1
AMMONIUMHYDROXIDE,,AMMONIUM HYDROXIDE,2381,,,1
AMMONIUMISOBUTYRATE,,AMMONIUM ISOBUTYRATE,2109,,,1
AMMONIUMLACTATE,,AMMONIUM LACTATE,3048,,,1
AMMONIUMLAURYLSULFATE,,AMMONIUM LAURYL SULFATE,1017,,,1
AMMONIUMLIGNOSULPHONATE,,AMMONIUM LIGNOSULPHONATE,2382,,,1
AMMONIUMNITRATE,,AMMONIUM NITRATE,3052,,,1
AMMONIUMNONANOATE,,AMMONIUM NONANOATE,5963,,,1
AMMONIUMNONYLPHENYLPOLYOXYETHYLENESULFATE,,AMMONIUM NONYL PHENYL POLY OXYETHYLENE SULFATE,3050,,,1
AMMONIUMOLEATE,,AMMONIUM OLEATE,1230,,,1
AMMONIUMOXALATE,,AMMONIUM OXALATE,891,,,1
AMMONIUMPARETH25SULFATE,,AMMONIUM PARETH-25 SULFATE,2383,,,1
AMMONIUMPROPIONATE,,AMMONIUM PROPIONATE,5015,,,1
AMMONIUMSTEARATE,,AMMONIUM STEARATE,3053,,,1
AMMONIUMSULFAMATE,,AMMONIUM SULFAMATE,21,,,1
AMMONIUMSULFATE,,AMMONIUM SULFATE,1363,,,1
AMMONIUMTALLOILFATTYSOAP,,AMMONIUM TALL OIL FATTY ACID SOAP,995,,,1
AMMONIUMTHIOCYANATE,,AMMONIUM THIOCYANATE,25,,,1
AMMONIUMTHIOSULFATE,,AMMONIUM THIOSULFATE,892,,,1
AMMONIUMXYLENESULFONATE,,AMMONIUM XYLENE SULFONATE,3054,,,1
AMOCO6342,,AMOCO 6342,2384,,,1
AMPELOMYCESQUISQUALIS,,AMPELOMYCES QUISQUALIS,2385,,,1
AMSCOSOLV,,AMSCO-SOLV,2386,,,1
AMYCOLPOTATOALPHASTARCH,,AMYCOL POTATO ALPHA STARCH,2387,,,1
AMYLACETATE,,AMYL ACETATE,1889,,,1
ANAGRAPHAFALCIFERAMULTINUCLEARPOLYHEDROSISVIRUS,,ANAGRAPHA FALCIFERA MULTI-NUCLEAR POLYHEDROSIS VIRUS (AFMNPV),5089,,,1
ANCYMIDOL,,ANCYMIDOL,1744,,,1
ANETHOL,,ANETHOL,1478,,,1
ANHYDROUSZIRCONIUMOXIDE,,ANHYDROUS ZIRCONIUM (IV) OXIDE,2204,,,1
ANILAZINE,,ANILAZINE,256,,,1
ANILINE,,ANILINE,3056,,,1
ANIMALGLANDEXTRACTS,,ANIMAL GLAND EXTRACTS,1345,,,1
ANIMALGLUE,,ANIMAL GLUE,3581,,,1
ANIONICHETEROPOLYSACCHARIDE,,ANIONIC HETEROPOLYSACCHARIDE,2628,,,1
ANNATTO,,ANNATTO,3893,,,1
ANTHRANILAMIDE,,ANTHRANILAMIDE,6158,,,1
ANTHRAQUINONE,,ANTHRAQUINONE,5329,,,1
ANTIMONY,,ANTIMONY,2388,,,1
ANTIMONYPOTASSIUMTARTRATE,,ANTIMONY POTASSIUM TARTRATE,3057,,,1
ANTIMYCINA,,ANTIMYCIN A,2001,,,1
ANTU,,ANTU,38,,,1
APPLEPOMACE,,APPLE POMACE,3582,,,1
ARAMITE,,ARAMITE,39,,,1
ARMUL1426,,ARMUL 1426,3878,,,1
ARMUL1426HF,,ARMUL 1426 HF,3877,,,1
ARMUL1427,,ARMUL 1427,3883,,,1
ARMUL1427HF,,ARMUL 1427 HF,3876,,,1
ARMUL214215,,ARMUL 214/215,2391,,,1
ARMUL22,,ARMUL 22,2389,,,1
ARMUL33,,ARMUL 33,2390,,,1
ARMUL358,,ARMUL 358,2392,,,1
ARMUL646,,ARMUL 646,2393,,,1
ARMUL88,,ARMUL 88,3908,,,1
AROMATIC100,,AROMATIC 100,2394,,,1
AROMATIC150,,AROMATIC 150,2395,,,1
AROMATIC200,,AROMATIC 200,2396,,,1
ARSENIC,,ARSENIC|ARSENIC ACID,40|710,,,1
ARSENICPENTOXIDE,,ARSENIC PENTOXIDE,631,,,1
ARSENICTRIOXIDE,,ARSENIC TRIOXIDE,42,,,1
ARTIFICIALPEANUTBUTTERFLAVORWL5344,,ARTIFICIAL PEANUT BUTTER FLAVOR WL-5344,2397,,,1
ARYLAMINOTRIAZOLE,,ARYL-AMINO-TRIAZOLE,6159,,,1
ASBESTOS,,ASBESTOS,2398,,,1
ASCORBYLPALMITATE,,ASCORBYL PALMITATE,3058,,,1
ASPERGILLUSFLAVUSSTRAINAF36,,ASPERGILLUS FLAVUS STRAIN AF36,5887,,,1
ASPERGILLUSFLAVUSSTRAINNRRL21882,,ASPERGILLUS FLAVUS STRAIN NRRL 21882,6128,,,1
ASPHALTSOLIDS,,ASPHALT SOLIDS,1140,,,1
ASPON,,ASPON,1693,,,1
ASTRAZONYELLOW4G200,,ASTRAZON YELLOW 4G200,2399,,,1
ASULAM,ASULAM,"ASULAM|ASULAM, SODIUM SALT",1746|5076,Asulam,180.36,3
ATLOX1045A,,ATLOX 1045A,3911,,,1
ATLOX3401,,ATLOX 3401,3912,,,1
ATLOX3403F,,ATLOX 3403F,2401,,,1
ATLOX3404F,,ATLOX 3404F,3921,,,1
ATLOX3404XF,,ATLOX 3404-XF(ZS),2402,,,1
ATLOX3406F,,ATLOX 3406F,2403,,,1
ATLOX3409F,,ATLOX 3409F,2404,,,1
ATLOX3453F,,ATLOX 3453F,3913,,,1
ATLOX3454F,,ATLOX 3454F,3922,,,1
ATLOX3455F,,ATLOX 3455F,3914,,,1
ATLOX3472F,,ATLOX 3472F,3915,,,1
ATLOX847,,ATLOX 847,3910,,,1
ATLOX848,,ATLOX 848,2400,,,1
ATPLUS300F,,ATPLUS 300F,3916,,,1
ATRATON,,ATRATON,4050,,,1
ATRAZINE,ATRAZINE,ATRAZINE,45,Atrazine,180.22,3
ATRAZINEDEALKYLATED,,ATRAZINE DEALKYLATED,4052,,,1
ATRAZINEOTHERRELATED,,"ATRAZINE, OTHER RELATED",90045,,,1
ATROPINE,,ATROPINE,3059,,,1
ATTAPULGITE,,ATTAPULGITE,5143,,,1
AURAMINE,,AURAMINE,702,,,1
AUREOBASIDIUMPULLULANSSTRAINDSM14940,,AUREOBASIDIUM PULLULANS STRAIN DSM 14940,6026,,,1
AUREOBASIDIUMPULLULANSSTRAINDSM14941,,AUREOBASIDIUM PULLULANS STRAIN DSM 14941,6027,,,1
AUTOGRAPHACALIFORNICA,,AUTOGRAPHA CALIFORNICA,2405,,,1
AUTOGRAPHACALIFORNICAMULTIPLENUCLEOPOLYHEDROSESVIRUSSTRAINFV11,,"AUTOGRAPHA CALIFORNICA MULTIPLE NUCLEOPOLYHEDROSES VIRUS, STRAIN FV#11",6190,,,1
AVERMECTINB1A,,AVERMECTIN B1A,5916,,,1
AVERMECTINB1ANDITSDELTA89ISOMER,,,,"Avermectin B1 and its delta-8,9-isomer",180.449,1
AVERMECTINB1B,,AVERMECTIN B1B,5917,,,1
AVIGLYCINE,AVIGLYCINE,,,,,1
AZACOSTEROL,,AZACOSTEROL,2026,,,1
AZADIRACHTIN,AZADIRACHTIN,AZADIRACHTIN,2328,,,2
AZAFENIDIN,,AZAFENIDIN,5025,,,1
AZETIDINE3CARBOXYLIC,,AZETIDINE-3-CARBOXYLIC ACID,2406,,,1
AZINPHOSETHYL,,AZINPHOS-ETHYL,4053,,,1
AZINPHOSMETHYL,AZINPHOS-METHYL,AZINPHOS-METHYL,314,,,2
AZINPHOSMETHYLOXYGENANALOG,,AZINPHOS-METHYL OXYGEN ANALOG,4054,,,1
AZOCYCLOTIN,,AZOCYCLOTIN,2408,,,1
AZODICARBONAMIDE,,AZODICARBONAMIDE,3890,,,1
AZOTOBACTERCHROOCOCCUM,,AZOTOBACTER CHROOCOCCUM,6345,,,1
AZOXYSTROBIN,AZOXYSTROBIN,AZOXYSTROBIN|AZOXYSTROBIN ACID,4037|6066,Azoxystrobin,180.507,3
AZOXYSTROBINZ,,AZOXYSTROBIN Z,6067,,,1
BACILLUSAMYLOLIQUEFACIENSFZB42,,BACILLUS AMYLOLIQUEFACIENS FZB42,6216,,,1
BACILLUSAMYLOLIQUEFACIENSSTRAIND747,,BACILLUS AMYLOLIQUEFACIENS STRAIN D747,6082,,,1
BACILLUSAMYLOLIQUEFACIENSSTRAINF727,,BACILLUS AMYLOLIQUEFACIENS STRAIN F727,6259,,,1
BACILLUSAMYLOLIQUEFACIENSSTRAINMBI600,,BACILLUS AMYLOLIQUEFACIENS STRAIN MBI 600,5120,,,1
BACILLUSAMYLOLIQUEFACIENSSTRAINPTA4838,,"BACILLUS AMYLOLIQUEFACIENS, STRAIN PTA4838",6358,,,1
BACILLUSAMYLOLIQUIFACIEN,BACILLUS AMYLOLIQUIFACIEN,,,,,1
BACILLUSAMYLOLIQUIFACIENSSTRAINOA001,,"BACILLUS AMYLOLIQUIFACIENS, STRAIN OA-001 (UV MUTANT)",6452,,,1
BACILLUSCEREUS,BACILLUS CEREUS,,,,,1
BACILLUSCEREUSSTRAINBP01,,"BACILLUS CEREUS, STRAIN BP01",5183,,,1
BACILLUSFIRMUS,BACILLUS FIRMUS,BACILLUS FIRMUS (STRAIN I-1582),6075,,,2
BACILLUSLICHENIFORMISSB3086,,BACILLUS LICHENIFORMIS SB 3086,5852,,,1
BACILLUSLYCHENIFORMISNRRLB67023,,BACILLUS LYCHENIFORMIS NRRL B-67023,6446,,,1
BACILLUSMEGATERIUM,,BACILLUS MEGATERIUM,6347,,,1
BACILLUSMEGATERIUMH491,,BACILLUS MEGATERIUM H491,6154,,,1
BACILLUSMEGATERIUMSTRAINNCIM2087,,BACILLUS MEGATERIUM STRAIN NCIM 2087,6276,,,1
BACILLUSMYCOIDES,,BACILLUS MYCOIDES,6350,,,1
BACILLUSMYCOIDESISOLATEJ,,BACILLUS MYCOIDES ISOLATE J,6164,,,1
BACILLUSPOPILLIAE,,BACILLUS POPILLIAE,2183,,,1
BACILLUSPUMILIS,BACILLUS PUMILIS,,,,,1
BACILLUSPUMILUSGHA180,,BACILLUS PUMILUS GHA 180,6095,,,1
BACILLUSPUMILUSSTRAINQST2808,,"BACILLUS PUMILUS, STRAIN QST 2808",5770,,,1
BACILLUSSPHAERICUS,,BACILLUS SPHAERICUS,2274,,,1
BACILLUSSPHAERICUS2362SEROTYPEH5A5BSTRAINABTS1743FERMENTATIONSOLIDSSPORESANDINSECTICIDALTOXINS,,"BACILLUS SPHAERICUS 2362, SEROTYPE H5A5B, STRAIN ABTS 1743 FERMENTATION SOLIDS, SPORES AND INSECTICIDAL TOXINS",2409,,,1
BACILLUSSUBTILIS,BACILLUS SUBTILIS,,,,,1
BACILLUSSUBTILISGB03,,BACILLUS SUBTILIS GB03,3945,,,1
BACILLUSSUBTILISNRRLB50393,,BACILLUS SUBTILIS NRRL B-50393,6445,,,1
BACILLUSSUBTILISSTRAINAFS032321,,BACILLUS SUBTILIS STRAIN AFS032321,6463,,,1
BACILLUSSUBTILISSTRAINC1302,,BACILLUS SUBTILIS STRAIN C-1302,6169,,,1
BACILLUSSUBTILISSTRAINIABBS03,,BACILLUS SUBTILIS STRAIN IAB/BS03,6165,,,1
BACILLUSSUBTILISVARAMYLOLIQUEFACIENSSTRAINFZB24,,BACILLUS SUBTILIS VAR. AMYLOLIQUEFACIENS STRAIN FZB24,5934,,,1
BACILLUSSUBTILISY1336,,BACILLUS SUBTILIS Y1336,6280,,,1
BACILLUSTHURINGIENSIS,BACILLUS THURINGIENSIS,BACILLUS THURINGIENSIS (BERLINER),86,,,2
BACILLUSTHURINGIENSISAIZAWAINRRLB50765,,BACILLUS THURINGIENSIS AIZAWAI NRRL B-50765,6450,,,1
BACILLUSTHURINGIENSISCRY1A105PROTEINANDGENETICMATERIALNECESSARYFORITSPRODUCTIONINCORN,,BACILLUS THURINGIENSIS CRY 1A.105 PROTEIN AND GENETIC MATERIAL NECESSARY (VECTOR PV-ZMIR245) FOR ITS PRODUCTION IN CORN,6092,,,1
BACILLUSTHURINGIENSISDELTAENDOTOXINPRODUCEDINCORN,,BACILLUS THURINGIENSIS DELTA ENDOTOXIN PRODUCED IN CORN,3954,,,1
BACILLUSTHURINGIENSISNRRLB50551,,BACILLUS THURINGIENSIS NRRL B-50551,6451,,,1
BACILLUSTHURINGIENSISSPPKURSTAKISTRAINEVB11319,,"BACILLUS THURINGIENSIS SPP. KURSTAKI, STRAIN EVB-113-19",6454,,,1
BACILLUSTHURINGIENSISSSPKURSTAKISTRAINEVB11319,,"BACILLUS THURINGIENSIS SSP KURSTAKI, STRAIN EVB 113 19",6323,,,1
BACILLUSTHURINGIENSISSTRAINDARMSTADIENSIS,,"BACILLUS THURINGIENSIS, STRAIN DARMSTADIENSIS",2410,,,1
BACILLUSTHURINGIENSISSUBKURSTAKISTRAINEG7673COLEOPTERANACTIVETOXIN,,BACILLUS THURINGIENSIS SUB. KURSTAKI STRAIN EG7673 COLEOPTERAN ACTIVE TOXIN,5051,,,1
BACILLUSTHURINGIENSISSUBKURSTAKISTRAINEG7673LEPIDOPTERANACTIVETOXIN,,BACILLUS THURINGIENSIS SUB. KURSTAKI STRAIN EG7673 LEPIDOPTERAN ACTIVE TOXIN,5049,,,1
BACILLUSTHURINGIENSISSUBSPAIZAWAIGC91PROTEIN,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. AIZAWAI, GC-91 PROTEIN",3843,,,1
BACILLUSTHURINGIENSISSUBSPAIZAWAISEROTYPEH7,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. AIZAWAI, SEROTYPE H-7",3856,,,1
BACILLUSTHURINGIENSISSUBSPAIZAWAISTRAINABTS1857,,"BACILLUS THURINGIENSIS, SUBSP. AIZAWAI, STRAIN ABTS-1857",5879,,,1
BACILLUSTHURINGIENSISSUBSPAIZAWAISTRAINSD1372LEPIDOPTERANACTIVETOXIN,,"BACILLUS THURINGIENSIS, SUBSP. AIZAWAI, STRAIN SD-1372, LEPIDOPTERAN ACTIVE TOXIN(S)",5226,,,1
BACILLUSTHURINGIENSISSUBSPECIESISRAELENSISSTRAINIPS78,,"BACILLUS THURINGIENSIS SUBSPECIES ISRAELENSIS, STRAIN IPS-78",4018,,,1
BACILLUSTHURINGIENSISSUBSPECIESKURSTAKIGENETICALLYENGINEEREDSTRAINEG7841LEPIDOPTERANACTIVETOXIN,,"BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI, GENETICALLY ENGINEERED STRAIN EG7841 LEPIDOPTERAN ACTIVE TOXIN",3988,,,1
BACILLUSTHURINGIENSISSUBSPECIESKURSTAKISTRAINBMP123,,BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI STRAIN BMP 123,4024,,,1
BACILLUSTHURINGIENSISSUBSPECIESKURSTAKISTRAINHD1LEPIDOPTERANACTIVETOXIN,,"BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI STRAIN HD-1, LEPIDOPTERAN ACTIVE TOXIN",5010,,,1
BACILLUSTHURINGIENSISSUBSPECIESKURSTAKISTRAINVBTS2546,,"BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI, STRAIN VBTS-2546",6205,,,1
BACILLUSTHURINGIENSISSUBSPECTENEBRIONISDELTAENDOTOXIN,,BACILLUS THURINGIENSIS SUBSPEC. TENEBRIONIS DELTA ENDOTOXIN,3972,,,1
BACILLUSTHURINGIENSISSUBSPGALLERIAESTRAINSDS502FERMENTATIONSOLIDSSPORESANDINSECTICIDALTOXINS,,"BACILLUS THURINGIENSIS SUBSP. GALLERIAE, STRAIN SDS-502 FERMENTATION SOLIDS, SPORES AND INSECTICIDAL TOXINS",6219,,,1
BACILLUSTHURINGIENSISSUBSPISRAELENSISSEROTYPEH14,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. ISRAELENSIS, SEROTYPE H-14",3857,,,1
BACILLUSTHURINGIENSISSUBSPISRAELENSISSTRAINAM6552,,"BACILLUS THURINGIENSIS, SUBSP. ISRAELENSIS, STRAIN AM 65-52",5841,,,1
BACILLUSTHURINGIENSISSUBSPISRAELENSISSTRAINSUM6218,,"BACILLUS THURINGIENSIS SUBSP. ISRAELENSIS, STRAIN SUM-6218",6206,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKIDELTAENDOTOXINASPRODUCEDINCORNBYANHD1GENEANDITSCONTROLLINGSEQUENCESANDFOUNDONPLASMIDVECTORPZO1502,,"BACILLUS THURINGIENSIS SUBSP. KURSTAKI, DELTA-ENDOTOXIN  AS PRODUCED IN CORN BY AN HD-1 GENE, AND ITS CONTROLLING SEQUENCES AND FOUND ON PLASMID VECTOR, PZO1502",5048,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKIGENETICALLYENGINEEREDSTRAINABG6413BYABBOTT,,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN ABG-6413 (ABTS-2198) BY ABBOTT",3990,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKIGENETICALLYENGINEEREDSTRAINAGRO1BYAGREVO,,"BACILLUS THURINGIENSIS SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN AGRO1 BY AGREVO",5004,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKIGENETICALLYENGINEEREDSTRAINAGRO2BYAGREVO,,"BACILLUS THURINGIENSIS SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN AGRO2 BY AGREVO",5005,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKIGENETICALLYENGINEEREDSTRAINS3158CRYABYSANDOZ,,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN S3158::CRY A BY SANDOZ",4041,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKIGENETICALLYENGINEEREDSTRAINS3159G27BYSANDOZ,,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN S3159::G27 BY SANDOZ",3989,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKISEROTYPE3A3B,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, SEROTYPE 3A,3B",3858,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKISTRAIN2424,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN 2424",3861,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKISTRAINABTS351FERMENTATIONSOLIDSANDSOLUBLES,,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES",5829,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKISTRAINEG2348,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN EG 2348",3859,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKISTRAINEG2371,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN EG2371",3860,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKISTRAINHD1,,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN HD-1",4023,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKISTRAINHD1DELTAENDOTOXINASPRODUCEDINCORNBYACRYIAGENEANDITSCONTROLLINGSEQUENCESBYMONSANTO,,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN HD-1,DELTA-ENDOTOXIN AS PRODUCED IN CORN BY A CRY IA(B) GENE AND ITS CONTROLLING SEQUENCES BY MONSANTO",3986,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKISTRAINSA11,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN SA-11",3862,,,1
BACILLUSTHURINGIENSISSUBSPKURSTAKISTRAINSA12,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI STRAIN SA-12",3970,,,1
BACILLUSTHURINGIENSISSUBSPMORRISONISEROTYPE8A8B,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. MORRISONI, SEROTYPE 8A8B",3863,,,1
BACILLUSTHURINGIENSISSUBSPSANDIEGO,,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. SAN DIEGO",3864,,,1
BACILLUSTHURINGIENSISSUBSPTENEBRIONIS,,BACILLUS THURINGIENSIS SUBSP. TENEBRIONIS,5043,,,1
BACILLUSTHURINGIENSISVARAIZAWAIMOCRY1FANDTHEGENETICMATERIALNECESSARYFORITSPRODUCTIONINMAIZE,,BACILLUS THURINGIENSIS VAR. AIZAWAI MOCRY1F AND THE GENETIC MATERIAL NECESSARY FOR ITS PRODUCTION (PLASMID INSERT PHP 12537) IN MAIZE,5819,,,1
BACILLUSTHURINGIENSISVARJAPONENSISSTRAINBUIBUI,,"BACILLUS THURINGIENSIS, VAR. JAPONENSIS, STRAIN BUIBUI",4005,,,1
BACILLUSTHURINGIENSISVARKURSTAKIAIZAWAI,,BACILLUS THURINGIENSIS VAR. KURSTAKI/AIZAWAI,3955,,,1
BACILLUSTHURINGIENSISVARKURSTAKIDELTAENDOTOXINSCRY1AANDCRY1CENCAPSULATEDINPSEUDOMONASFLUORESCENS,,"BACILLUS THURINGIENSIS, VAR. KURSTAKI DELTA ENDOTOXINS CRY 1A(C) AND CRY 1C (GENETICALLY ENGINEERED) ENCAPSULATED IN PSEUDOMONAS FLUORESCENS (KILLED)",3965,,,1
BACILLUSTHURINGIENSISVARKURSTAKIGENETICALLYENGINEEREDSTRAINECX9441,,"BACILLUS THURINGIENSIS VAR. KURSTAKI, GENETICALLY ENGINEERED STRAIN ECX 9441",3962,,,1
BACILLUSTHURINGIENSISVARKURSTAKIGENETICALLYENGINEEREDSTRAINEG7618,,"BACILLUS THURINGIENSIS, VAR. KURSTAKI, GENETICALLY ENGINEERED, STRAIN EG7618",3963,,,1
BACILLUSTHURINGIENSISVARKURSTAKIGENETICALLYENGINEEREDSTRAINEG7826,,"BACILLUS THURINGIENSIS VAR. KURSTAKI, GENETICALLY ENGINEERED STRAIN EG7826",5325,,,1
BACILLUSTHURINGIENSISVARKURSTAKIPROTEININCOTTONSEED,,BACILLUS THURINGIENSIS VAR. KURSTAKI PROTEIN IN COTTONSEED,3554,,,1
BACILLUSTHURINGIENSISVARKURSTAKISTRAINM200,,BACILLUS THURINGIENSIS VAR. KURSTAKI STRAIN M-200,3978,,,1
BACTERIALPROTEASE,,BACTERIAL PROTEASE,3522,,,1
BACTERIOPHAGEACTIVEAGAINSTCLAVIBACTERMICHIGANENSISSUBSPMICHIGANENSIS,,BACTERIOPHAGE ACTIVE AGAINST CLAVIBACTER MICHIGANENSIS SUBSP. MICHIGANENSIS,6494,,,1
BACTERIOPHAGEACTIVEAGAINSTERWINIAAMYLOVORA,,BACTERIOPHAGE ACTIVE AGAINST ERWINIA AMYLOVORA,6495,,,1
BACTERIOPHAGEACTIVEAGAINSTXANTHOMONASCAMPESTRISPVVESICATORIAANDPSEUDOMONASSYRINGAEPVTOMATO,,BACTERIOPHAGE ACTIVE AGAINST XANTHOMONAS CAMPESTRIS PV. VESICATORIA AND PSEUDOMONAS SYRINGAE PV. TOMATO,5940,,,1
BACTERIOPHAGESACTIVEAGAINSTXYLELLAFASTIDIOSA,,BACTERIOPHAGES ACTIVE AGAINST XYLELLA FASTIDIOSA,6270,,,1
BACULOVIRUSGENETICALLYENGINEEREDSTRAINACMNPVLQHIT2,,"BACULOVIRUS, GENETICALLY ENGINEERED, STRAIN ACMNPV-LQHIT2",5157,,,1
BACULOVIRUSGENETICALLYENGINEEREDSTRAINVEGTDELAAIT,,"BACULOVIRUS, GENETICALLY ENGINEERED, STRAIN VEGTDEL-AAIT",5021,,,1
BACULOVIRUSGENETICALLYENGINEEREDSTRAINVEGTDELTOX34,,"BACULOVIRUS, GENETICALLY ENGINEERED, STRAIN VEGTDEL-TOX34",5404,,,1
BACULOVIRUSGENETICALLYENGINEREDSTRAIN,,"BACULOVIRUS, GENETICALLY ENGINERED, STRAIN (VEGTDEL)",3958,,,1
BALSAMFIROIL,,BALSAM FIR OIL,5969,,,1
BALSAMPERU,,BALSAM PERU,1146,,,1
BANDANE,,BANDANE,54,,,1
BARBAN,,BARBAN,55,,,1
BARIUMCARBONATE,,BARIUM CARBONATE,3060,,,1
BARIUMCHLORIDE,,BARIUM CHLORIDE,3061,,,1
BARIUMMETABORATE,,BARIUM METABORATE,973,,,1
BARIUMSULFATE,,BARIUM SULFATE,2411,,,1
BARLEYSTRAW,,BARLEY STRAW,5138,,,1
BAROCHEMB460,,BAROCHEM B460,2412,,,1
BAROCHEMB464,,BAROCHEM B464,2413,,,1
BASICVIOLET1,,BASIC VIOLET 1,3584,,,1
BEAUVERIABASSIANA,,BEAUVERIA BASSIANA,3948,,,1
BEAUVERIABASSIANAHF23,,BEAUVERIA BASSIANA HF 23,5976,,,1
BEAUVERIABASSIANASTRAINANT03,,BEAUVERIA BASSIANA STRAIN ANT-03,6137,,,1
BEAUVERIABASSIANASTRAINGHA,,BEAUVERIA BASSIANA STRAIN GHA,3993,,,1
BEAUVERIABASSIANASTRAINPPRI5339,,BEAUVERIA BASSIANA STRAIN PPRI 5339,6217,,,1
BEESWAX,,BEESWAX (YELLOW AND WHITE),3586,,,1
BEETPOWDER,,BEET POWDER,3587,,,1
BENALAXYLM,,,,Benalaxyl-M,180.684,1
BENDIOCARB,,BENDIOCARB,1924,,,1
BENEFIN,,BENEFIN,53,,,1
BENFLURALIN,BENFLURALIN,,,Benfluralin,180.208,2
BENOMYL,BENOMYL,BENOMYL,1552,,,2
BENOXACOR,,,,Benoxacor,180.46,1
BENSULFURON,BENSULFURON,,,,,1
BENSULFURONMETHYL,,BENSULFURON METHYL,2263,Bensulfuron methyl,180.445,2
BENSULIDE,BENSULIDE,BENSULIDE,70,Bensulide,180.241,3
