normalized,pnsp_compound,pur_chemname,pur_chem_code,cfr180_chemical,cfr180_section,n_sources
17DIOXASPIROUNDECANE,,"1,7-DIOXASPIRO-(5,5)-UNDECANE",5786,,,1
1ALKYLAMINO2AMINOPROPANEMONOACETATEALKYLDERIVEDFROMCOCONUTOILFATTYACIDS,,"1-ALKYLAMINO-2-AMINOPROPANE MONOACETATE, ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS",1335,,,1
1ALKYLAMINO3AMINOPROPANEACETATE,,1-ALKYL (C6-C18) AMINO-3-AMINOPROPANE ACETATE,2365,,,1
1ALKYLAMINO3AMINOPROPANEDIACETATE,,1-ALKYL (C6-C18) AMINO-3-AMINOPROPANE DIACETATE,1954,,,1
1AMINOCYCLOPROPANE1CARBOXYLIC,,1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID,6503,,,1
1AZONAPHTHALENOL,,1-((4-METHYL-2-NITROPHENYL) AZO) NAPHTHALENOL,2682,,,1
1BENZYL2STEARYLBENZENIDAZOL63DISULFONIC,,"1-BENZYL-2-STEARYL-BENZENIDAZOL-6,3'-DISULFONIC ACID, SODIUM SALT",3066,,,1
1BROMO3CHLORO55DIMETHYLHYDANTOIN,,"1-BROMO-3-CHLORO-5,5-DIMETHYL HYDANTOIN",2080,,,1
1BUTOXY2PROPANOL,,1-BUTOXY-2-PROPANOL,2625,,,1
1BUTOXYETHOXY2PROPANOL,,1-BUTOXY ETHOXY-2-PROPANOL,3074,,,1
1CHLORO11DIFLUOROETHANE,,"1-CHLORO-1,1-DIFLUORO ETHANE",3103,,,1
1CHLORO2NITROPROPANE,,1-CHLORO-2-NITROPROPANE,351,,,1
1CHLORO55DIMETHYLHYDANTOIN,,"1-CHLORO-5,5-DIMETHYLHYDANTOIN",6125,,,1
1CHLOROBUTANE,,1-CHLOROBUTANE,1151,,,1
1DECANOL,,1-DECANOL,1791,,,1
1H124TRIAZOLE,,"1H-1,2,4-TRIAZOLE",6488,,,1
1HBENZOTRIAZOLE,,1H-BENZO TRIAZOLE,2418,,,1
1HEPTADECENYL22IMIDAZOLINIUMCHLORIDE,,1-HEPTADECENYL-2-(2-HYDROXYETHYL)-2-IMIDAZOLINIUM CHLORIDE,3219,,,1
1HEPTANOL,,1-HEPTANOL,3222,,,1
1HEXANOL,,1-HEXANOL,3229,,,1
1HYDROXYETHYL1BENZYL2ALKYLIMIDAZOLINIUMCHLORIDE,,1-HYDROXYETHYL-1-BENZYL-2-ALKYL IMIDAZOLINIUM CHLORIDE,2603,,,1
1ISOBUTOXY2PROPANOL,,1-ISOBUTOXY-2-PROPANOL,5913,,,1
1METHYL1TALLOILAMIDOETHYL2TALLOILIMIDAZOLINOMETHOSULFATE,,1-METHYL-1-TALL OIL AMIDO ETHYL-2-TALL OIL-IMIDAZOLINO METHOSULFATE,3289,,,1
1METHYL1TALLOWALKYLAMIDOETHYL2HEPTADECYLIMIDAZOLINIUMMETHOSULFATE,,1-METHYL-1-TALLOWALKYLAMIDOETHYL-2-HEPTADECYLIMIDAZOLINIUM METHOSULFATE,3290,,,1
1METHYL357TRIAZA1AZONIATRICYCLODECANECHLORIDE,,"1-METHYL-3,5,7-TRIAZA-1-AZONIA TRICYCLO (3.3.1.1.3.7) DECANE CHLORIDE",2290,,,1
1METHYLCYCLOPROPENE,,1-METHYLCYCLOPROPENE,5295,,,1
1METHYLPYRROLIDINE,,1-METHYL PYRROLIDINE,3287,,,1
1NAPHTHALENEACETAMIDE,,1-NAPHTHALENEACETAMIDE,422,,,1
1NAPHTHALENEACETIC,,,,1-Naphthaleneacetic acid,180.155,1
1NAPHTHOL,,1-NAPHTHOL,6374,,,1
1OCTEN3OL,,1-OCTEN-3-OL,4029,,,1
1TETRADEANAMINENNDIMETHYLNOXIDE,,"1-TETRADEANAMINE, N,N- DIMETHYL-, N-OXIDE",6444,,,1
1TETRADECYLPYRIDINIUMBROMIDE,,1-TETRADECYL PYRIDINIUM BROMIDE,3469,,,1
1VERDEGREENSOLUTION,,1% VERDE GREEN SOLUTION,2982,,,1
1VINYL2PYRROLIDINONE,,1-VINYL-2-PYRROLIDINONE,2985,,,1
22AZOBISISOBUTYRONITRILE,,"2,2'-AZOBIS ISOBUTYRONITRILE",2407,,,1
22BIS,,"2,2'-(1-METHYLTRIMETHYLENEDIOXY)BIS-(4-METHYL-1,3,2-DIOXABORINANE)",2227,,,1
22BISMETHANE,,"2,2'-BIS(6-T-BUTYL-P-CRESYL)-METHANE",3280,,,1
22BISWITHBISPHOSPHATE,,"2,2'-(COCOALKYLIMINO)-BIS-(ETHANOL) WITH BIS-(2-ETHYLHEXYL) PHOSPHATE (1:1)",3837,,,1
22BISWITHMONOPHOSPHATE,,"2,2'-(COCOALKYLIMINO)-BIS-(ETHANOL) WITH MONO (2-ETHYLHEXYL) PHOSPHATE (1:1)",3836,,,1
22DIBROMO3NITRILOPROPIONAMIDE,,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",1749,,,1
22DIETHANOL,,"2,2'-(ETHYL IMINO) DIETHANOL",3191,,,1
22HEXADECYLIMINODIETHANOL,,"2,2'-HEXADECYL IMINO DIETHANOL",3225,,,1
22METHYLENEBIS,,"2,2-METHYLENE BIS(4,6-DICHLOROPHENOL), SODIUM SALT",1843,,,1
22OCTADECYLIMINODIETHANOL,,"2,2'-OCTADECYL IMINO DIETHANOL",3306,,,1
22OXYBIS,,"2,2'-OXYBIS (4,4,6-TRIMETHYL-1,3,2-DIOXABORINANE)|2,2-OXYBIS (4-DODECYL BENZENE SULFONATE)",1741|792,,,1
