GROUP_DESC,COMMODITY_DESC,ACRES,OPERATIONS,surveyed_ever_us,surveyed_recent_us,last_surveyed_year,n_years_surveyed,status
FRUIT & TREE NUTS,DATES,15755.0,226.0,True,True,2023.0,13.0,surveyed 2013+
FRUIT & TREE NUTS,PLUMS,14654.0,4804.0,True,True,2025.0,15.0,surveyed 2013+
FIELD CROPS,EMMER & SPELT,9128.0,610.0,False,False,,,never surveyed
FRUIT & TREE NUTS,COFFEE,8324.0,1020.0,False,False,,,never surveyed
FIELD CROPS,RAPESEED,8000.0,53.0,False,False,,,never surveyed
FRUIT & TREE NUTS,FIGS,7369.0,2151.0,True,True,2017.0,11.0,surveyed 2013+
VEGETABLES,TURNIPS,7312.0,4097.0,False,False,,,never surveyed
FRUIT & TREE NUTS,APRICOTS,7047.0,1806.0,True,True,2025.0,15.0,surveyed 2013+
VEGETABLES,PARSLEY,6398.0,3571.0,False,False,,,never surveyed
FIELD CROPS,CAMELINA,6028.0,62.0,False,False,,,never surveyed
FRUIT & TREE NUTS,"NON-CITRUS, OTHER",5867.0,1869.0,False,False,,,never surveyed
FRUIT & TREE NUTS,TANGELOS,5841.0,695.0,True,True,2015.0,11.0,surveyed 2013+
VEGETABLES,EGGPLANT,5807.0,7261.0,True,False,2010.0,8.0,lapsed
VEGETABLES,ARTICHOKES,5157.0,419.0,True,False,2000.0,1.0,lapsed
HORTICULTURE,SHORT TERM WOODY CROPS,4991.0,120.0,False,False,,,never surveyed
VEGETABLES,OKRA,4868.0,6354.0,True,False,2000.0,1.0,lapsed
FRUIT & TREE NUTS,KIWIFRUIT,4767.0,276.0,True,True,2025.0,15.0,surveyed 2013+
VEGETABLES,HORSERADISH,4621.0,771.0,False,False,,,never surveyed
FRUIT & TREE NUTS,CHESTNUTS,4419.0,1533.0,False,False,,,never surveyed
VEGETABLES,DAIKON,4044.0,1496.0,False,False,,,never surveyed
FIELD CROPS,SWITCHGRASS,3926.0,58.0,False,False,,,never surveyed
FRUIT & TREE NUTS,PLUM-APRICOT HYBRIDS,3291.0,484.0,False,False,,,never surveyed
FRUIT & TREE NUTS,PERSIMMONS,3205.0,2008.0,False,False,,,never surveyed
FRUIT & TREE NUTS,MANGOES,3144.0,1445.0,False,False,,,never surveyed
VEGETABLES,ESCAROLE & ENDIVE,3132.0,774.0,False,False,,,never surveyed
FIELD CROPS,JOJOBA,2902.0,17.0,False,False,,,never surveyed
FRUIT & TREE NUTS,ARONIA BERRIES,1983.0,791.0,False,False,,,never surveyed
VEGETABLES,GOURDS,1890.0,2821.0,False,False,,,never surveyed
VEGETABLES,RHUBARB,1727.0,3131.0,False,False,,,never surveyed
FRUIT & TREE NUTS,LIMES,1523.0,1130.0,True,False,1999.0,4.0,lapsed
FRUIT & TREE NUTS,PINEAPPLES,1520.0,308.0,False,False,,,never surveyed
FRUIT & TREE NUTS,GUAVAS,1361.0,659.0,False,False,,,never surveyed
FRUIT & TREE NUTS,"TREE NUTS, OTHER",1296.0,434.0,False,False,,,never surveyed
FRUIT & TREE NUTS,LYCHEES,1262.0,848.0,False,False,,,never surveyed
FRUIT & TREE NUTS,BANANAS,1230.0,1100.0,False,False,,,never surveyed
VEGETABLES,CHICORY,1205.0,548.0,False,False,,,never surveyed
FRUIT & TREE NUTS,LONGAN,1133.0,540.0,False,False,,,never surveyed
VEGETABLES,PARSNIPS,1062.0,735.0,False,False,,,never surveyed
FRUIT & TREE NUTS,ELDERBERRIES,1036.0,1722.0,False,False,,,never surveyed
VEGETABLES,GINSENG,897.0,189.0,False,False,,,never surveyed
FRUIT & TREE NUTS,PAPAYAS,882.0,565.0,False,False,,,never surveyed
FIELD CROPS,DILL,754.0,8.0,False,False,,,never surveyed
FRUIT & TREE NUTS,"BERRIES, OTHER",715.0,548.0,False,False,,,never surveyed
VEGETABLES,WATERCRESS,638.0,323.0,False,False,,,never surveyed
FIELD CROPS,TARO,563.0,296.0,False,False,,,never surveyed
FRUIT & TREE NUTS,PAWPAWS,446.0,692.0,False,False,,,never surveyed
FRUIT & TREE NUTS,CURRANTS,370.0,797.0,False,False,,,never surveyed
FRUIT & TREE NUTS,BOYSENBERRIES,370.0,281.0,False,False,,,never surveyed
VEGETABLES,GINGER ROOT,340.0,819.0,False,False,,,never surveyed
FRUIT & TREE NUTS,CHERIMOYAS,295.0,236.0,False,False,,,never surveyed
FRUIT & TREE NUTS,PASSION FRUIT,284.0,431.0,False,False,,,never surveyed
FRUIT & TREE NUTS,KUMQUATS,237.0,374.0,False,False,,,never surveyed
FRUIT & TREE NUTS,"CITRUS, OTHER",194.0,140.0,False,False,,,never surveyed
FRUIT & TREE NUTS,MULBERRIES,188.0,560.0,False,False,,,never surveyed
FRUIT & TREE NUTS,RAMBUTAN,147.0,106.0,False,False,,,never surveyed
FRUIT & TREE NUTS,LOGANBERRIES,100.0,114.0,False,False,,,never surveyed
FRUIT & TREE NUTS,GOOSEBERRIES,75.0,286.0,False,False,,,never surveyed
FIELD CROPS,GUAR,,5.0,False,False,,,never surveyed
HORTICULTURE,AQUATIC PLANTS,,707.0,False,False,,,never surveyed
HORTICULTURE,BULBS & CORMS & RHIZOMES & TUBERS,,1363.0,False,False,,,never surveyed
HORTICULTURE,"FLORICULTURE, OTHER",,1784.0,False,False,,,never surveyed
HORTICULTURE,FLOWER SEEDS,,875.0,False,False,,,never surveyed
HORTICULTURE,"FLOWERING PLANTS, POTTED",,6733.0,True,False,2009.0,2.0,lapsed
HORTICULTURE,FOLIAGE PLANTS,,4314.0,True,False,2009.0,2.0,lapsed
HORTICULTURE,MUSHROOMS,,1258.0,False,False,,,never surveyed
HORTICULTURE,PROPAGATIVE MATERIAL,,2496.0,True,False,2009.0,2.0,lapsed
HORTICULTURE,TRANSPLANTS,,3585.0,True,False,2009.0,2.0,lapsed
HORTICULTURE,VEGETABLE SEEDS,,1239.0,False,False,,,never surveyed
