compound,biota_group,use_2018_Mkg_high,use_2018_Mkg_low,n_studies,n_tests,tier,tier_generous,tier_label,cas_resolution,n_cas_matched
GLUFOSINATE,Soil bacteria & protozoa,8.6320406,7.5412567,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(3),4
PARAQUAT,Earthworms & potworms,6.448555099999999,4.5579163,8.0,23.0,4.0,4.0,"Field, single season (<1 yr)",dtxsid+name_family(11),12
PARAQUAT,Springtails & soil mites,6.448555099999999,4.5579163,2.0,48.0,4.0,5.0,"Field, single season (<1 yr)",dtxsid+name_family(11),12
PARAQUAT,Mycorrhizal fungi,6.448555099999999,4.5579163,3.0,6.0,3.0,3.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(11),12
PARAQUAT,Soil bacteria & protozoa,6.448555099999999,4.5579163,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(11),12
METOLACHLOR,Earthworms & potworms,6.075506900000001,3.9389645,4.0,5.0,3.0,3.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(7),8
METOLACHLOR,Springtails & soil mites,6.075506900000001,3.9389645,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(7),8
METOLACHLOR,Mycorrhizal fungi,6.075506900000001,3.9389645,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(7),8
METOLACHLOR,Soil bacteria & protozoa,6.075506900000001,3.9389645,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(7),8
SULFUR,Earthworms & potworms,5.3861774,5.316881700000001,0.0,0.0,0.0,0.0,No record,dtxsid,1
SULFUR,Springtails & soil mites,5.3861774,5.316881700000001,1.0,3.0,0.0,5.0,No record,dtxsid,1
SULFUR,Mycorrhizal fungi,5.3861774,5.316881700000001,2.0,7.0,4.0,4.0,"Field, single season (<1 yr)",dtxsid,1
SULFUR,Soil bacteria & protozoa,5.3861774,5.316881700000001,0.0,0.0,0.0,0.0,No record,dtxsid,1
DIMETHENAMID-P,Earthworms & potworms,5.1132158,3.7098177000000003,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
DIMETHENAMID-P,Springtails & soil mites,5.1132158,3.7098177000000003,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
DIMETHENAMID-P,Mycorrhizal fungi,5.1132158,3.7098177000000003,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
DIMETHENAMID-P,Soil bacteria & protozoa,5.1132158,3.7098177000000003,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
PENDIMETHALIN,Earthworms & potworms,5.0759611,3.1698265,1.0,2.0,0.0,4.0,No record,dtxsid,1
PENDIMETHALIN,Springtails & soil mites,5.0759611,3.1698265,2.0,5.0,2.0,4.0,"Lab, in soil, acute (<=14 d)",dtxsid,1
PENDIMETHALIN,Mycorrhizal fungi,5.0759611,3.1698265,1.0,1.0,0.0,3.0,No record,dtxsid,1
PENDIMETHALIN,Soil bacteria & protozoa,5.0759611,3.1698265,0.0,0.0,0.0,0.0,No record,dtxsid,1
ETHEPHON,Earthworms & potworms,4.9026476,4.873489,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(4),5
ETHEPHON,Springtails & soil mites,4.9026476,4.873489,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(4),5
ETHEPHON,Mycorrhizal fungi,4.9026476,4.873489,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(4),5
ETHEPHON,Soil bacteria & protozoa,4.9026476,4.873489,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(4),5
CHLOROTHALONIL,Earthworms & potworms,3.9943849,3.6785987,4.0,7.0,3.0,4.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(13),14
CHLOROTHALONIL,Springtails & soil mites,3.9943849,3.6785987,4.0,7.0,4.0,4.0,"Field, single season (<1 yr)",dtxsid+name_family(13),14
CHLOROTHALONIL,Mycorrhizal fungi,3.9943849,3.6785987,2.0,5.0,2.0,3.0,"Lab, in soil, acute (<=14 d)",dtxsid+name_family(13),14
CHLOROTHALONIL,Soil bacteria & protozoa,3.9943849,3.6785987,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(13),14
CHLORPYRIFOS,Earthworms & potworms,3.2755482999999996,1.9760518999999999,42.0,144.0,5.0,5.0,"Field, >=1 year",dtxsid+name_family(2),3
CHLORPYRIFOS,Springtails & soil mites,3.2755482999999996,1.9760518999999999,17.0,135.0,5.0,5.0,"Field, >=1 year",dtxsid+name_family(2),3
CHLORPYRIFOS,Mycorrhizal fungi,3.2755482999999996,1.9760518999999999,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
CHLORPYRIFOS,Soil bacteria & protozoa,3.2755482999999996,1.9760518999999999,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
BACILLUS AMYLOLIQUIFACIEN,Earthworms & potworms,3.2517156000000003,1.7323446999999998,,,,,CAS unresolved,unresolved,0
BACILLUS AMYLOLIQUIFACIEN,Springtails & soil mites,3.2517156000000003,1.7323446999999998,,,,,CAS unresolved,unresolved,0
BACILLUS AMYLOLIQUIFACIEN,Mycorrhizal fungi,3.2517156000000003,1.7323446999999998,,,,,CAS unresolved,unresolved,0
BACILLUS AMYLOLIQUIFACIEN,Soil bacteria & protozoa,3.2517156000000003,1.7323446999999998,,,,,CAS unresolved,unresolved,0
TRIFLURALIN,Earthworms & potworms,3.0577351,2.1443087999999997,2.0,2.0,2.0,5.0,"Lab, in soil, acute (<=14 d)",dtxsid+name_family(10),11
TRIFLURALIN,Springtails & soil mites,3.0577351,2.1443087999999997,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(10),11
TRIFLURALIN,Mycorrhizal fungi,3.0577351,2.1443087999999997,2.0,2.0,1.0,3.0,"Lab, not in soil",dtxsid+name_family(10),11
TRIFLURALIN,Soil bacteria & protozoa,3.0577351,2.1443087999999997,1.0,1.0,0.0,5.0,No record,dtxsid+name_family(10),11
FOMESAFEN,Earthworms & potworms,2.8088598,2.6014942000000003,1.0,1.0,0.0,3.0,No record,dtxsid+name_family(2),3
