pnsp_compound,normalized,pur_chem_code,cfr180_section,dtxsid,matched_name,match
COPPER OXYCHLORIDE,COPPEROXYCHLORIDE,156,,DTXSID6034475,Copper oxychloride,exact
COPPER OXYCHLORIDE S,COPPEROXYCHLORIDES,,,,,prefix_only(1)
COPPER SULFATE,COPPERSULFATE,161|162|1778,,DTXSID6034479,Copper sulfate,exact
COPPER SULF TRIBASIC,COPPERSULFTRIBASIC,,,,,none
CPPU,CPPU,,,DTXSID1034634,CPPU,exact
CRYOLITE,CRYOLITE,173,,DTXSID0034487,Cryolite,exact
CUPROUS OXIDE,CUPROUSOXIDE,,,DTXSID0034489,Cuprous oxide,exact
CYANAMIDE,CYANAMIDE,,,DTXSID9034490,Cyanamide,exact
CYAZOFAMID,CYAZOFAMID,5930,180.601,DTXSID9034492,Cyazofamid,exact
CYCLANILIDE,CYCLANILIDE,4030,180.506,DTXSID5032600,Cyclanilide,exact
CYCLOATE,CYCLOATE,516,,DTXSID6032356,Cycloate,exact
CYDIA POMONELLA,CYDIAPOMONELLA,,,,,prefix_only(1)
CYFLUFENAMID,CYFLUFENAMID,6003,,DTXSID30431727,Cyflufenamid,exact
CYFLUTHRIN,CYFLUTHRIN,2223,,DTXSID5035957,Cyfluthrin,exact
CYHALOFOP,CYHALOFOP,,,DTXSID701022032,Cyhalofop,exact
CYHALOTHRIN-GAMMA,CYHALOTHRINGAMMA,,,,,none
CYHALOTHRIN-LAMBDA,CYHALOTHRINLAMBDA,,,DTXSID7032559,Cyhalothrin lambda,exact
CYMOXANIL,CYMOXANIL,4002,,DTXSID6032358,Cymoxanil,exact
CYPERMETHRIN,CYPERMETHRIN,2171|3866,,DTXSID1023998,Cypermethrin,exact
CYPROCONAZOLE,CYPROCONAZOLE,5105,180.485,DTXSID0032601,Cyproconazole,exact
CYPRODINIL,CYPRODINIL,4000,180.532,DTXSID1032359,Cyprodinil,exact
CYROMAZINE,CYROMAZINE,2286,180.414,DTXSID6023999,Cyromazine,exact
CYTOKININ,CYTOKININ,2082,,DTXSID9035175,Cytokinin,exact
DAMINOZIDE,DAMINOZIDE,7,,DTXSID9020370,Daminozide,exact
DAZOMET,DAZOMET,2029|233,,DTXSID7024902,Dazomet,exact
DCPA,DCPA,,180.185,DTXSID20872529,DCPA,exact
DECAN-1-OL,DECAN1OL,,,DTXSID7021946,Decan-1-ol,exact
DELTAMETHRIN,DELTAMETHRIN,3010,180.435,DTXSID8020381,Deltamethrin,exact
DESMEDIPHAM,DESMEDIPHAM,1748,180.353,DTXSID0034518,Desmedipham,exact
DIAZINON,DIAZINON,198,180.153,DTXSID9020407,Diazinon,exact
DICAMBA,DICAMBA,200|5057|5110,180.227,DTXSID4024018,Dicamba,exact
DICHLOBENIL,DICHLOBENIL,112,180.231,DTXSID5032365,Dichlobenil,exact
DICHLOROPROPENE,DICHLOROPROPENE,,,DTXSID00891738,Dichloropropene,exact
DICHLORPROP,DICHLORPROP,2503,,DTXSID0020440,Dichlorprop,exact
DICLOFOP,DICLOFOP,,,DTXSID5041859,Diclofop,exact
DICLORAN,DICLORAN,81,180.2,DTXSID2020426,Dicloran,exact
DICLOSULAM,DICLOSULAM,,180.543,DTXSID4034528,Diclosulam,exact
DICOFOL,DICOFOL,346,180.163,DTXSID4020450,Dicofol,exact
DICROTOPHOS,DICROTOPHOS,72,180.299,DTXSID9023914,Dicrotophos,exact
DIENOCHLOR,DIENOCHLOR,468,,DTXSID9032371,Dienochlor,exact
DIETHATYL,DIETHATYL,,,DTXSID80192018,Diethatyl,exact
DIFENOCONAZOLE,DIFENOCONAZOLE,5024,180.475,DTXSID4032372,Difenoconazole,exact
DIFLUBENZURON,DIFLUBENZURON,1992,180.377,DTXSID1024049,Diflubenzuron,exact
DIFLUFENZOPYR,DIFLUFENZOPYR,5750|5751,180.549,DTXSID8034538,Diflufenzopyr,exact
DIMETHENAMID,DIMETHENAMID,5112,180.464,DTXSID4032376,Dimethenamid,exact
DIMETHENAMID-P,DIMETHENAMIDP,5919,,DTXSID2034542,Dimethenamid-P,exact
DIMETHIPIN,DIMETHIPIN,2159,,DTXSID0024052,Dimethipin,exact
DIMETHOATE,DIMETHOATE,216,180.204,DTXSID7020479,Dimethoate,exact
DIMETHOMORPH,DIMETHOMORPH,4003,180.493,DTXSID7034545,Dimethomorph,exact
DIMETHYL DISULFIDE,DIMETHYLDISULFIDE,5899,,DTXSID4025117,Dimethyl disulfide,exact
DINOSEB,DINOSEB,1445|238|240,,DTXSID3020207,Dinoseb,exact
DINOTEFURAN,DINOTEFURAN,5822,180.603,DTXSID7034549,Dinotefuran,exact
DIQUAT,DIQUAT,,180.226,DTXSID6034554,Diquat,exact
DISULFOTON,DISULFOTON,230,,DTXSID0022018,Disulfoton,exact
DITHIOPYR,DITHIOPYR,2308,,DTXSID9032379,Dithiopyr,exact
DIURON,DIURON,231,180.106,DTXSID0020446,Diuron,exact
DODINE,DODINE,245,180.172,DTXSID3020548,Dodine,exact
EMAMECTIN,EMAMECTIN,,180.505,DTXSID3035052,Emamectin,exact
ENDOSULFAN,ENDOSULFAN,259,,DTXSID1020560,Endosulfan,exact
ENDOTHAL,ENDOTHAL,,,DTXSID7024081,Endothal,exact
EPTC,EPTC,264,,DTXSID1024091,EPTC,exact
ESFENVALERATE,ESFENVALERATE,2321,180.533,DTXSID4032667,Esfenvalerate,exact
ETHALFLURALIN,ETHALFLURALIN,2166,180.416,DTXSID8032386,Ethalfluralin,exact
ETHEPHON,ETHEPHON,1626,180.3,DTXSID7024085,Ethephon,exact
ETHION,ETHION,268,,DTXSID2024086,Ethion,exact
ETHOFUMESATE,ETHOFUMESATE,1900,180.345,DTXSID8034580,Ethofumesate,exact
ETHOPROPHOS,ETHOPROPHOS,,,DTXSID4032611,Ethoprophos,exact
ETOXAZOLE,ETOXAZOLE,5849,180.593,DTXSID8034586,Etoxazole,exact
ETRIDIAZOLE,ETRIDIAZOLE,,,DTXSID3032547,Etridiazole,exact
FAMOXADONE,FAMOXADONE,5878,180.587,DTXSID8034588,Famoxadone,exact
FATTY ALCOHOLS,FATTYALCOHOLS,3654,,DTXSID901018811,Fatty alcohols,exact
FENAMIDONE,FENAMIDONE,5791,180.579,DTXSID2034590,Fenamidone,exact
FENAMIPHOS,FENAMIPHOS,1857,180.349,DTXSID3024102,Fenamiphos,exact
FENARIMOL,FENARIMOL,1980,180.421,DTXSID2032390,Fenarimol,exact
FENBUCONAZOLE,FENBUCONAZOLE,3905,180.48,DTXSID8032548,Fenbuconazole,exact
FENBUTATIN OXIDE,FENBUTATINOXIDE,1876,180.362,DTXSID7032391,Fenbutatin oxide,exact
FENHEXAMID,FENHEXAMID,4032,180.553,DTXSID3032549,Fenhexamid,exact
FENOXAPROP,FENOXAPROP,,,DTXSID5058224,Fenoxaprop,exact
FENOXYCARB,FENOXYCARB,2283,,DTXSID7032393,Fenoxycarb,exact
FENPROPATHRIN,FENPROPATHRIN,2234,180.466,DTXSID0024002,Fenpropathrin,exact
FENPYROXIMATE,FENPYROXIMATE,5784,180.566,DTXSID7032557,Fenpyroximate,exact
FENTIN,FENTIN,,,DTXSID9058153,Fentin,exact
FERBAM,FERBAM,288,180.114,DTXSID8020624,Ferbam,exact
FIPRONIL,FIPRONIL,3995,180.517,DTXSID4034609,Fipronil,exact
FLAZASULFURON,FLAZASULFURON,6035,180.655,DTXSID3034610,Flazasulfuron,exact
FLONICAMID,FLONICAMID,5886,180.613,DTXSID8034611,Flonicamid,exact
FLORASULAM,FLORASULAM,6142,180.633,DTXSID7044340,Florasulam,exact
FLUAZIFOP,FLUAZIFOP,,,DTXSID3058163,Fluazifop,exact
FLUAZINAM,FLUAZINAM,3898,180.574,DTXSID7032551,Fluazinam,exact
FLUBENDIAMIDE,FLUBENDIAMIDE,5948,180.639,DTXSID4047672,Flubendiamide,exact
FLUCARBAZONE,FLUCARBAZONE,,,DTXSID0043979,Flucarbazone,exact
FLUDIOXONIL,FLUDIOXONIL,5027,180.516,DTXSID2032398,Fludioxonil,exact
FLUFENACET,FLUFENACET,5293,,DTXSID2032552,Flufenacet,exact
FLUMETRALIN,FLUMETRALIN,5085,,DTXSID7032553,Flumetralin,exact
FLUMETSULAM,FLUMETSULAM,3927,180.468,DTXSID4032615,Flumetsulam,exact
FLUMICLORAC,FLUMICLORAC,,,DTXSID50236453,Flumiclorac,exact
FLUMIOXAZIN,FLUMIOXAZIN,5802,180.568,DTXSID7032555,Flumioxazin,exact
FLUOMETURON,FLUOMETURON,166,180.229,DTXSID8020628,Fluometuron,exact
FLUOPICOLIDE,FLUOPICOLIDE,5949,180.627,DTXSID7034624,Fluopicolide,exact
FLUOPYRAM,FLUOPYRAM,6004,180.661,DTXSID9058151,Fluopyram,exact
FLUOXASTROBIN,FLUOXASTROBIN,5915,180.609,DTXSID2034625,Fluoxastrobin,exact
FLURIDONE,FLURIDONE,2279,180.42,DTXSID8024107,Fluridone,exact
FLUROXYPYR,FLUROXYPYR,5768,,DTXSID2034627,Fluroxypyr,exact
FLUTHIACET-METHYL,FLUTHIACETMETHYL,,180.551,DTXSID2032556,Fluthiacet-methyl,exact
FLUTOLANIL,FLUTOLANIL,2305,180.484,DTXSID8024109,Flutolanil,exact
FLUTRIAFOL,FLUTRIAFOL,5971,180.629,DTXSID8040727,Flutriafol,exact
FLUVALINATE-TAU,FLUVALINATETAU,,,DTXSID7037555,Fluvalinate Tau,exact
FLUXAPYROXAD,FLUXAPYROXAD,6033,180.666,DTXSID6058215,Fluxapyroxad,exact
FOMESAFEN,FOMESAFEN,,180.433,DTXSID7024112,Fomesafen,exact
FORAMSULFURON,FORAMSULFURON,5851,,DTXSID7034753,Foramsulfuron,exact
FORMETANATE,FORMETANATE,,,DTXSID9041990,Formetanate,exact
FOSETYL,FOSETYL,,,DTXSID2057990,Fosetyl,exact
GALLEX,GALLEX,,,,,none
GAMMA AMINOBUTYRIC ACID,GAMMAAMINOBUTYRIC,5160,,DTXSID6035106,gamma-Aminobutyric acid,exact
GIBBERELLIC ACID,GIBBERELLIC,,,DTXSID0020656,Gibberellic acid,exact
GLUFOSINATE,GLUFOSINATE,,180.473,DTXSID0043973,Glufosinate,exact
GLYPHOSATE,GLYPHOSATE,2997|5820,180.364,DTXSID1024122,Glyphosate,exact
HALOSULFURON,HALOSULFURON,,,DTXSID3074947,Halosulfuron,exact
HARPIN PROTEIN,HARPINPROTEIN,5761,,,,prefix_only(1)
HEXAZINONE,HEXAZINONE,1871,180.396,DTXSID4024145,Hexazinone,exact
HEXYTHIAZOX,HEXYTHIAZOX,2303,180.448,DTXSID7024299,Hexythiazox,exact
HYDRAMETHYLNON,HYDRAMETHYLNON,2203,180.395,DTXSID6023868,Hydramethylnon,exact
HYDRATED LIME,HYDRATEDLIME,,,DTXSID7034410,Hydrated lime,exact
HYDROGEN PEROXIDE,HYDROGENPEROXIDE,1794,,DTXSID2020715,Hydrogen peroxide,exact
HYMEXAZOL,HYMEXAZOL,4034,,DTXSID3032622,Hymexazol,exact
IBA,IBA,323,,DTXSID0021759,IBA,exact
IMAZALIL,IMAZALIL,2084,180.413,DTXSID8024151,Imazalil,exact
IMAZAMETHABENZ,IMAZAMETHABENZ,2240,,,,prefix_only(3)
IMAZAMOX,IMAZAMOX,5756|5757,,DTXSID3034664,Imazamox,exact
