pnsp_compound,normalized,pur_chem_code,cfr180_section,dtxsid,matched_name,match
PYRIPROXYFEN,PYRIPROXYFEN,4019,180.51,DTXSID1032640,Pyriproxyfen,exact
PYRITHIOBAC-SODIUM,PYRITHIOBACSODIUM,3940,180.487,DTXSID8032673,Pyrithiobac sodium,exact
PYROXASULFONE,PYROXASULFONE,6143,180.659,DTXSID4058104,Pyroxasulfone,exact
PYROXSULAM,PYROXSULAM,6030,180.638,DTXSID7044344,Pyroxsulam,exact
QUINCLORAC,QUINCLORAC,5104,180.463,DTXSID6032641,Quinclorac,exact
QUINOXYFEN,QUINOXYFEN,5787,180.588,DTXSID2034881,Quinoxyfen,exact
QUINTOZENE,QUINTOZENE,,,DTXSID2021105,Quintozene,exact
QUIZALOFOP,QUIZALOFOP,,,DTXSID60273935,Quizalofop,exact
RIMSULFURON,RIMSULFURON,3835,180.478,DTXSID1032642,Rimsulfuron,exact
ROTENONE,ROTENONE,518,,DTXSID6021248,Rotenone,exact
SABADILLA,SABADILLA,,,DTXSID2034887,Sabadilla,exact
SAFLUFENACIL,SAFLUFENACIL,5977,180.649,DTXSID9058072,Saflufenacil,exact
SETHOXYDIM,SETHOXYDIM,2177,180.412,DTXSID9024304,Sethoxydim,exact
SILICATES,SILICATES,,,DTXSID8049628,silicates,exact
SIMAZINE,SIMAZINE,531,180.213,DTXSID4021268,Simazine,exact
SODIUM CHLORATE,SODIUMCHLORATE,536,,DTXSID7026025,Sodium chlorate,exact
SPINETORAM,SPINETORAM,5946,180.635,DTXSID3058614,Spinetoram,exact
SPINOSYN,SPINOSYN,,,,,prefix_only(14)
SPIRODICLOFEN,SPIRODICLOFEN,5857,180.608,DTXSID6034928,Spirodiclofen,exact
SPIROMESIFEN,SPIROMESIFEN,5858,180.607,DTXSID1034929,Spiromesifen,exact
SPIROTETRAMAT,SPIROTETRAMAT,5955,180.641,DTXSID7044342,Spirotetramat,exact
STREPTOMYCIN,STREPTOMYCIN,1217,180.245,,,prefix_only(15)
SULFCARBAMIDE,SULFCARBAMIDE,,,,,none
SULFENTRAZONE,SULFENTRAZONE,5923,180.498,DTXSID6032645,Sulfentrazone,exact
SULFOMETURON,SULFOMETURON,,,DTXSID20225213,Sulfometuron,exact
SULFOSATE,SULFOSATE,,,DTXSID5034939,Sulfosate,exact
SULFOSULFURON,SULFOSULFURON,5136,180.552,DTXSID4034940,Sulfosulfuron,exact
SULFOXAFLOR,SULFOXAFLOR,6109,180.668,DTXSID0074687,Sulfoxaflor,exact
SULFUR,SULFUR,560,,DTXSID9034941,Sulfur,exact
SULFURIC ACID,SULFURIC,442,,DTXSID5029683,Sulfuric acid,exact
TCMTB,TCMTB,971,,DTXSID6032647,TCMTB,exact
TEBUCONAZOLE,TEBUCONAZOLE,3850,180.474,DTXSID9032113,Tebuconazole,exact
TEBUFENOZIDE,TEBUFENOZIDE,3957,180.482,DTXSID4034948,Tebufenozide,exact
TEBUPIRIMPHOS,TEBUPIRIMPHOS,,,DTXSID1032482,Tebupirimphos,exact
TEBUTHIURON,TEBUTHIURON,1810,180.39,DTXSID3024316,Tebuthiuron,exact
TEFLUTHRIN,TEFLUTHRIN,3839,180.44,DTXSID5032577,Tefluthrin,exact
TEMBOTRIONE,TEMBOTRIONE,6021,180.634,DTXSID5047037,Tembotrione,exact
TERBACIL,TERBACIL,532,180.209,DTXSID8024317,Terbacil,exact
TERBUFOS,TERBUFOS,2925,180.352,DTXSID2022254,Terbufos,exact
TETRABOROHYDRATE,TETRABOROHYDRATE,,,,,none
TETRACONAZOLE,TETRACONAZOLE,5939,180.557,DTXSID8034956,Tetraconazole,exact
TETRATHIOCARBONATE,TETRATHIOCARBONATE,,,DTXSID301365028,TETRATHIOCARBONATE,exact
THIABENDAZOLE,THIABENDAZOLE,587,180.242,DTXSID0021337,Thiabendazole,exact
THIACLOPRID,THIACLOPRID,5888,180.594,DTXSID7034961,Thiacloprid,exact
THIAMETHOXAM,THIAMETHOXAM,5598,180.565,DTXSID2034962,Thiamethoxam,exact
THIAZOPYR,THIAZOPYR,3984,,DTXSID1032488,Thiazopyr,exact
THIDIAZURON,THIDIAZURON,2162,180.403,DTXSID0032651,Thidiazuron,exact
THIENCARBAZONE-METHYL,THIENCARBAZONEMETHYL,6016,180.645,DTXSID0058275,Thiencarbazone-methyl,exact
THIFENSULFURON,THIFENSULFURON,,,DTXSID1058185,Thifensulfuron,exact
THIOBENCARB,THIOBENCARB,1933,180.401,DTXSID6024337,Thiobencarb,exact
THIODICARB,THIODICARB,2202,180.407,DTXSID0032578,Thiodicarb,exact
THIOPHANATE-METHYL,THIOPHANATEMETHYL,1696,180.371,DTXSID1024338,Thiophanate-methyl,exact
THIRAM,THIRAM,589,180.132,DTXSID5021332,Thiram,exact
TOPRAMEZONE,TOPRAMEZONE,6175,180.612,DTXSID0034722,Topramezone,exact
TRALKOXYDIM,TRALKOXYDIM,5457,,DTXSID1034973,Tralkoxydim,exact
TRIADIMEFON,TRIADIMEFON,2133,180.41,DTXSID3023897,Triadimefon,exact
TRIADIMENOL,TRIADIMENOL,2307,,DTXSID0032493,Triadimenol,exact
TRI-ALLATE,TRIALLATE,49,180.314,DTXSID5024344,Tri-allate,exact
TRIASULFURON,TRIASULFURON,5100,180.459,DTXSID0024345,Triasulfuron,exact
TRIBENURON METHYL,TRIBENURONMETHYL,2338,180.451,DTXSID8024101,Tribenuron-methyl,exact
TRIBUFOS,TRIBUFOS,,,DTXSID1024174,Tribufos,exact
TRICLOPYR,TRICLOPYR,,180.417,DTXSID0032497,Triclopyr,exact
TRIFLOXYSTROBIN,TRIFLOXYSTROBIN,5321,180.555,DTXSID4032580,Trifloxystrobin,exact
TRIFLOXYSULFURON,TRIFLOXYSULFURON,,180.591,DTXSID0043971,Trifloxysulfuron,exact
TRIFLUMIZOLE,TRIFLUMIZOLE,2260,180.476,DTXSID2032500,Triflumizole,exact
TRIFLURALIN,TRIFLURALIN,597,180.207,DTXSID4021395,Trifluralin,exact
TRIFLUSULFURON,TRIFLUSULFURON,,,DTXSID10159614,Triflusulfuron,exact
TRINEXAPAC,TRINEXAPAC,,,DTXSID501019900,Trinexapac,exact
TRITICONAZOLE,TRITICONAZOLE,5799,180.583,DTXSID0032655,Triticonazole,exact
UNICONAZOLE,UNICONAZOLE,,180.643,DTXSID7032505,Uniconazole,exact
VINCLOZOLIN,VINCLOZOLIN,2129,180.38,DTXSID4022361,Vinclozolin,exact
ZETA-CYPERMETHRIN,ZETACYPERMETHRIN,,,DTXSID40274167,zeta-Cypermethrin,exact
ZINC,ZINC,2310,,DTXSID7035012,Zinc,exact
ZINEB,ZINEB,627,,DTXSID5021465,Zineb,exact
ZIRAM,ZIRAM,629,180.116,DTXSID0021464,Ziram,exact
ZOXAMIDE,ZOXAMIDE,5769,180.567,DTXSID9032581,Zoxamide,exact
