compound,pesticide_class,class_source
CYFLUFENAMID,FUNGICIDE,nass_domaincat
CYFLUMETOFEN,INSECTICIDE,nass_domaincat
CYFLUTHRIN,INSECTICIDE,nass_domaincat
CYHALOFOP,HERBICIDE,manual
CYHALOTHRIN-GAMMA,UNCLASSIFIED,none
CYHALOTHRIN-LAMBDA,INSECTICIDE,manual
CYMOXANIL,FUNGICIDE,nass_domaincat
CYPERMETHRIN,INSECTICIDE,nass_domaincat
CYPROCONAZOLE,FUNGICIDE,nass_domaincat
CYPRODINIL,FUNGICIDE,nass_domaincat
CYROMAZINE,INSECTICIDE,nass_domaincat
CYTOKININ,UNCLASSIFIED,none
DALAPON,UNCLASSIFIED,none
DAMINOZIDE,OTHER,nass_domaincat
DAZOMET,OTHER,nass_domaincat
DCPA,HERBICIDE,nass_domaincat
DECAN-1-OL,OTHER,manual
DELTAMETHRIN,INSECTICIDE,nass_domaincat
DEMETON,UNCLASSIFIED,none
DESMEDIPHAM,HERBICIDE,nass_domaincat
DI-ALLATE,HERBICIDE,nass_domaincat
DIAZINON,INSECTICIDE,nass_domaincat
DICAMBA,HERBICIDE,nass_domaincat
DICHLOBENIL,HERBICIDE,nass_domaincat
DICHLONE,UNCLASSIFIED,none
DICHLOROPROPENE,OTHER,nass_domaincat
DICHLORPROP,HERBICIDE,nass_domaincat
DICLOFOP,HERBICIDE,manual
DICLORAN,FUNGICIDE,nass_domaincat
DICLOSULAM,HERBICIDE,nass_domaincat
DICOFOL,INSECTICIDE,nass_domaincat
DICROTOPHOS,INSECTICIDE,nass_domaincat
DIENOCHLOR,INSECTICIDE,nass_domaincat
DIETHATYL,UNCLASSIFIED,none
DIFENOCONAZOLE,FUNGICIDE,nass_domaincat
DIFENZOQUAT,HERBICIDE,nass_domaincat
DIFLUBENZURON,INSECTICIDE,nass_domaincat
DIFLUFENZOPYR,HERBICIDE,manual
DIMETHENAMID,HERBICIDE,nass_domaincat
DIMETHENAMID-P,HERBICIDE,nass_domaincat
DIMETHIPIN,OTHER,nass_domaincat
DIMETHOATE,INSECTICIDE,nass_domaincat
DIMETHOMORPH,FUNGICIDE,nass_domaincat
DIMETHYL DISULFIDE,OTHER,manual
DIMETHYLARSINIC ACID,OTHER,manual
DINOCAP,FUNGICIDE,nass_domaincat
DINOSEB,HERBICIDE,nass_domaincat
DINOTEFURAN,INSECTICIDE,nass_domaincat
DIPHENAMID,HERBICIDE,nass_domaincat
DIQUAT,HERBICIDE,manual
DISULFOTON,INSECTICIDE,nass_domaincat
DIURON,HERBICIDE,nass_domaincat
DNOC,OTHER,nass_domaincat
DODINE,FUNGICIDE,nass_domaincat
DSMA,HERBICIDE,nass_domaincat
EMAMECTIN,UNCLASSIFIED,none
ENDOSULFAN,INSECTICIDE,nass_domaincat
ENDOTHAL,HERBICIDE,manual
EPN,UNCLASSIFIED,none
EPTC,HERBICIDE,nass_domaincat
ESFENVALERATE,INSECTICIDE,nass_domaincat
ETHABOXAM,FUNGICIDE,nass_domaincat
ETHALFLURALIN,HERBICIDE,nass_domaincat
ETHAMETSULFURON,UNCLASSIFIED,none
ETHEPHON,OTHER,nass_domaincat
ETHION,INSECTICIDE,nass_domaincat
ETHOFUMESATE,HERBICIDE,nass_domaincat
ETHOPROPHOS,INSECTICIDE,manual
ETOXAZOLE,INSECTICIDE,nass_domaincat
ETRIDIAZOLE,FUNGICIDE,nass_domaincat
FAMOXADONE,FUNGICIDE,nass_domaincat
FATTY ALCOHOLS,OTHER,nass_domaincat
FENAMIDONE,FUNGICIDE,nass_domaincat
FENAMIPHOS,INSECTICIDE,nass_domaincat
FENARIMOL,FUNGICIDE,nass_domaincat
FENAZAQUIN,INSECTICIDE,nass_domaincat
FENBUCONAZOLE,FUNGICIDE,nass_domaincat
FENBUTATIN OXIDE,INSECTICIDE,nass_domaincat
FENHEXAMID,FUNGICIDE,nass_domaincat
FENOXAPROP,HERBICIDE,nass_domaincat
FENOXYCARB,INSECTICIDE,nass_domaincat
FENPROPATHRIN,INSECTICIDE,nass_domaincat
FENPYROXIMATE,INSECTICIDE,nass_domaincat
FENSULFOTHION,INSECTICIDE,nass_domaincat
FENTIN,FUNGICIDE,manual
FENVALERATE,INSECTICIDE,nass_domaincat
FERBAM,FUNGICIDE,nass_domaincat
FIPRONIL,INSECTICIDE,nass_domaincat
FLAZASULFURON,HERBICIDE,nass_domaincat
FLONICAMID,INSECTICIDE,nass_domaincat
FLORASULAM,UNCLASSIFIED,none
FLORPYRAUXIFEN,UNCLASSIFIED,none
FLUAZIFOP,HERBICIDE,manual
FLUAZINAM,FUNGICIDE,nass_domaincat
FLUBENDIAMIDE,INSECTICIDE,nass_domaincat
FLUCARBAZONE,UNCLASSIFIED,none
FLUCHLORALIN,UNCLASSIFIED,none
FLUCYTHRINATE,INSECTICIDE,nass_domaincat
FLUDIOXONIL,FUNGICIDE,nass_domaincat
FLUENSULFONE,OTHER,nass_domaincat
FLUFENACET,HERBICIDE,nass_domaincat
FLUMETRALIN,OTHER,nass_domaincat
FLUMETSULAM,HERBICIDE,nass_domaincat
FLUMICLORAC,HERBICIDE,manual
FLUMIOXAZIN,HERBICIDE,nass_domaincat
FLUOMETURON,HERBICIDE,nass_domaincat
FLUOPICOLIDE,FUNGICIDE,nass_domaincat
FLUOPYRAM,FUNGICIDE,nass_domaincat
FLUOXASTROBIN,FUNGICIDE,nass_domaincat
FLUPYRADIFURONE,INSECTICIDE,nass_domaincat
