normalized,pnsp_compound,pur_chem_code,cfr180_section,dtxsid,dtxsid_match,unresolved_reason
CYANAMIDE,CYANAMIDE,,,DTXSID9034490,exact,
CYAZOFAMID,CYAZOFAMID,5930,180.601,DTXSID9034492,exact,
CYCLANILIDE,CYCLANILIDE,4030,180.506,DTXSID5032600,exact,
CYCLOATE,CYCLOATE,516,,DTXSID6032356,exact,
CYDIAPOMONELLA,CYDIA POMONELLA,,,,prefix_only(1),"biological agent - not a single substance, correctly absent from a chemical registry"
CYFLUFENAMID,CYFLUFENAMID,6003,,DTXSID30431727,exact,
CYFLUTHRIN,CYFLUTHRIN,2223,,DTXSID5035957,exact,
CYHALOFOP,CYHALOFOP,,,DTXSID701022032,exact,
CYHALOTHRINGAMMA,CYHALOTHRIN-GAMMA,,,,none,abbreviated or variant spelling in PNSP - needs manual mapping
CYHALOTHRINLAMBDA,CYHALOTHRIN-LAMBDA,,,DTXSID7032559,exact,
CYMOXANIL,CYMOXANIL,4002,,DTXSID6032358,exact,
CYPERMETHRIN,CYPERMETHRIN,2171|3866,,DTXSID1023998,exact,
CYPROCONAZOLE,CYPROCONAZOLE,5105,180.485,DTXSID0032601,exact,
CYPRODINIL,CYPRODINIL,4000,180.532,DTXSID1032359,exact,
CYROMAZINE,CYROMAZINE,2286,180.414,DTXSID6023999,exact,
CYTOKININ,CYTOKININ,2082,,DTXSID9035175,exact,
DAMINOZIDE,DAMINOZIDE,7,,DTXSID9020370,exact,
DAZOMET,DAZOMET,2029|233,,DTXSID7024902,exact,
DCPA,DCPA,,180.185,DTXSID20872529,exact,
DECAN1OL,DECAN-1-OL,,,DTXSID7021946,exact,
DELTAMETHRIN,DELTAMETHRIN,3010,180.435,DTXSID8020381,exact,
DESMEDIPHAM,DESMEDIPHAM,1748,180.353,DTXSID0034518,exact,
DIAZINON,DIAZINON,198,180.153,DTXSID9020407,exact,
DICAMBA,DICAMBA,200|5057|5110,180.227,DTXSID4024018,exact,
DICHLOBENIL,DICHLOBENIL,112,180.231,DTXSID5032365,exact,
DICHLOROPROPENE,DICHLOROPROPENE,,,DTXSID00891738,exact,
DICHLORPROP,DICHLORPROP,2503,,DTXSID0020440,exact,
DICLOFOP,DICLOFOP,,,DTXSID5041859,exact,
DICLORAN,DICLORAN,81,180.2,DTXSID2020426,exact,
DICLOSULAM,DICLOSULAM,,180.543,DTXSID4034528,exact,
DICOFOL,DICOFOL,346,180.163,DTXSID4020450,exact,
DICROTOPHOS,DICROTOPHOS,72,180.299,DTXSID9023914,exact,
DIENOCHLOR,DIENOCHLOR,468,,DTXSID9032371,exact,
DIETHATYL,DIETHATYL,,,DTXSID80192018,exact,
DIFENOCONAZOLE,DIFENOCONAZOLE,5024,180.475,DTXSID4032372,exact,
DIFLUBENZURON,DIFLUBENZURON,1992,180.377,DTXSID1024049,exact,
DIFLUFENZOPYR,DIFLUFENZOPYR,5750|5751,180.549,DTXSID8034538,exact,
DIMETHENAMID,DIMETHENAMID,5112,180.464,DTXSID4032376,exact,
DIMETHENAMIDP,DIMETHENAMID-P,5919,,DTXSID2034542,exact,
DIMETHIPIN,DIMETHIPIN,2159,,DTXSID0024052,exact,
DIMETHOATE,DIMETHOATE,216,180.204,DTXSID7020479,exact,
DIMETHOMORPH,DIMETHOMORPH,4003,180.493,DTXSID7034545,exact,
DIMETHYLDISULFIDE,DIMETHYL DISULFIDE,5899,,DTXSID4025117,exact,
DINOSEB,DINOSEB,1445|238|240,,DTXSID3020207,exact,
DINOTEFURAN,DINOTEFURAN,5822,180.603,DTXSID7034549,exact,
DIQUAT,DIQUAT,,180.226,DTXSID6034554,exact,
DISULFOTON,DISULFOTON,230,,DTXSID0022018,exact,
DITHIOPYR,DITHIOPYR,2308,,DTXSID9032379,exact,
DIURON,DIURON,231,180.106,DTXSID0020446,exact,
DODINE,DODINE,245,180.172,DTXSID3020548,exact,
EMAMECTIN,EMAMECTIN,,180.505,DTXSID3035052,exact,
ENDOSULFAN,ENDOSULFAN,259,,DTXSID1020560,exact,
ENDOTHAL,ENDOTHAL,,,DTXSID7024081,exact,
EPTC,EPTC,264,,DTXSID1024091,exact,
ESFENVALERATE,ESFENVALERATE,2321,180.533,DTXSID4032667,exact,
ETHALFLURALIN,ETHALFLURALIN,2166,180.416,DTXSID8032386,exact,
ETHEPHON,ETHEPHON,1626,180.3,DTXSID7024085,exact,
ETHION,ETHION,268,,DTXSID2024086,exact,
ETHOFUMESATE,ETHOFUMESATE,1900,180.345,DTXSID8034580,exact,
ETHOPROPHOS,ETHOPROPHOS,,,DTXSID4032611,exact,
ETOXAZOLE,ETOXAZOLE,5849,180.593,DTXSID8034586,exact,
ETRIDIAZOLE,ETRIDIAZOLE,,,DTXSID3032547,exact,
FAMOXADONE,FAMOXADONE,5878,180.587,DTXSID8034588,exact,
FATTYALCOHOLS,FATTY ALCOHOLS,3654,,DTXSID901018811,exact,
FENAMIDONE,FENAMIDONE,5791,180.579,DTXSID2034590,exact,
FENAMIPHOS,FENAMIPHOS,1857,180.349,DTXSID3024102,exact,
FENARIMOL,FENARIMOL,1980,180.421,DTXSID2032390,exact,
FENBUCONAZOLE,FENBUCONAZOLE,3905,180.48,DTXSID8032548,exact,
FENBUTATINOXIDE,FENBUTATIN OXIDE,1876,180.362,DTXSID7032391,exact,
FENHEXAMID,FENHEXAMID,4032,180.553,DTXSID3032549,exact,
FENOXAPROP,FENOXAPROP,,,DTXSID5058224,exact,
FENOXYCARB,FENOXYCARB,2283,,DTXSID7032393,exact,
FENPROPATHRIN,FENPROPATHRIN,2234,180.466,DTXSID0024002,exact,
