normalized,pnsp_compound,pur_chem_code,cfr180_section,dtxsid,dtxsid_match,unresolved_reason
TEFLUTHRIN,TEFLUTHRIN,3839,180.44,DTXSID5032577,exact,
TEMBOTRIONE,TEMBOTRIONE,6021,180.634,DTXSID5047037,exact,
TERBACIL,TERBACIL,532,180.209,DTXSID8024317,exact,
TERBUFOS,TERBUFOS,2925,180.352,DTXSID2022254,exact,
TETRABOROHYDRATE,TETRABOROHYDRATE,,,,none,abbreviated or variant spelling in PNSP - needs manual mapping
TETRACONAZOLE,TETRACONAZOLE,5939,180.557,DTXSID8034956,exact,
TETRATHIOCARBONATE,TETRATHIOCARBONATE,,,DTXSID301365028,exact,
THIABENDAZOLE,THIABENDAZOLE,587,180.242,DTXSID0021337,exact,
THIACLOPRID,THIACLOPRID,5888,180.594,DTXSID7034961,exact,
THIAMETHOXAM,THIAMETHOXAM,5598,180.565,DTXSID2034962,exact,
THIAZOPYR,THIAZOPYR,3984,,DTXSID1032488,exact,
THIDIAZURON,THIDIAZURON,2162,180.403,DTXSID0032651,exact,
THIENCARBAZONEMETHYL,THIENCARBAZONE-METHYL,6016,180.645,DTXSID0058275,exact,
THIFENSULFURON,THIFENSULFURON,,,DTXSID1058185,exact,
THIOBENCARB,THIOBENCARB,1933,180.401,DTXSID6024337,exact,
THIODICARB,THIODICARB,2202,180.407,DTXSID0032578,exact,
THIOPHANATEMETHYL,THIOPHANATE-METHYL,1696,180.371,DTXSID1024338,exact,
THIRAM,THIRAM,589,180.132,DTXSID5021332,exact,
TOPRAMEZONE,TOPRAMEZONE,6175,180.612,DTXSID0034722,exact,
TRALKOXYDIM,TRALKOXYDIM,5457,,DTXSID1034973,exact,
TRIADIMEFON,TRIADIMEFON,2133,180.41,DTXSID3023897,exact,
TRIADIMENOL,TRIADIMENOL,2307,,DTXSID0032493,exact,
TRIALLATE,TRI-ALLATE,49,180.314,DTXSID5024344,exact,
TRIASULFURON,TRIASULFURON,5100,180.459,DTXSID0024345,exact,
TRIBENURONMETHYL,TRIBENURON METHYL,2338,180.451,DTXSID8024101,exact,
TRIBUFOS,TRIBUFOS,,,DTXSID1024174,exact,
TRICLOPYR,TRICLOPYR,,180.417,DTXSID0032497,exact,
TRIFLOXYSTROBIN,TRIFLOXYSTROBIN,5321,180.555,DTXSID4032580,exact,
TRIFLOXYSULFURON,TRIFLOXYSULFURON,,180.591,DTXSID0043971,exact,
TRIFLUMIZOLE,TRIFLUMIZOLE,2260,180.476,DTXSID2032500,exact,
TRIFLURALIN,TRIFLURALIN,597,180.207,DTXSID4021395,exact,
TRIFLUSULFURON,TRIFLUSULFURON,,,DTXSID10159614,exact,
TRINEXAPAC,TRINEXAPAC,,,DTXSID501019900,exact,
TRITICONAZOLE,TRITICONAZOLE,5799,180.583,DTXSID0032655,exact,
UNICONAZOLE,UNICONAZOLE,,180.643,DTXSID7032505,exact,
VINCLOZOLIN,VINCLOZOLIN,2129,180.38,DTXSID4022361,exact,
ZETACYPERMETHRIN,ZETA-CYPERMETHRIN,,,DTXSID40274167,exact,
ZINC,ZINC,2310,,DTXSID7035012,exact,
ZINEB,ZINEB,627,,DTXSID5021465,exact,
ZIRAM,ZIRAM,629,180.116,DTXSID0021464,exact,
ZOXAMIDE,ZOXAMIDE,5769,180.567,DTXSID9032581,exact,
