compound,n_endpoints,median_LC50_mg_kg,min_mg_kg,log10_spread,use_2018_Mkg,toxicity_weighted_use
IMIDACLOPRID,21,2.41,0.11,0.42491566524488866,0.32430640000000005,0.13456697095435685
CYPERMETHRIN,6,37.10309960097674,8.2,0.9994181308122112,0.019479,0.000524996569275501
CARBARYL,22,54.015201564004165,10.0,0.3497932155771248,0.31953859999999995,0.005915716145599669
CHLORPYRIFOS,13,384.9,9.5,0.5375437976733545,3.2755482999999996,0.008510128085216938
ATRAZINE,4,1000.0,43.2,0.8909672636246359,32.105991,0.032105991
