year,total_high_Mkg,share_herbicide_pct,share_insecticide_pct,share_fungicide_pct,share_other_pct,share_unclassified_pct
1992,390.77166919999996,57.931996596236345,13.6255044049135,6.839969554271875,21.41271187118086,0.18981757339741148
1993,339.1113396,63.48168143062591,14.527894955713242,7.3388576239754855,14.535618997035742,0.11594699264960821
1994,418.4979629,58.55301232578592,14.521481700622157,7.278671176537764,19.53437778609555,0.11245701095860697
1995,441.06541119999997,54.47772498103337,15.91661685939067,6.815644536308632,22.738678153686063,0.051335469581251986
1996,478.059125,53.74983272205085,14.618864141543158,6.100732310046378,25.441162617699227,0.08940820866038275
1997,421.3714552,55.57786167286635,15.361675619264872,6.929501948854365,22.089122851433242,0.0418379075811683
1998,379.2200222999999,60.456959922498264,14.873492875695135,6.8769899442094955,17.762179193880606,0.03037806371649486
1999,382.0371424,55.40291605426898,19.26195341576296,7.276523985433308,18.042841192605465,0.01576535192929974
2000,379.43306579999995,54.999279559362,15.803178479865633,6.6008694964928925,22.57606669555577,0.020605768723701998
2001,379.96330079999996,55.21641994325995,14.866340691606078,6.559228969620532,23.298753646367945,0.05925674914549538
2002,365.27131240000006,54.82745586674766,15.96033236690613,6.0360947743565525,23.138132103691586,0.037984888298060605
2003,363.77613820000005,56.83853532095139,16.133591386836045,6.336214550534254,20.6502507205955,0.04140802108278578
2004,387.63809410000005,53.06157612748411,15.782039415408422,6.040322831109492,25.086936495697724,0.029125130300242077
2005,364.46266060000005,55.75964214425756,15.920520693252055,6.6345429899986845,21.640346385596242,0.044947786895456796
2006,347.00697870000005,55.91051264353144,13.387450671463974,6.46697126497877,24.19053210816592,0.044533311859874705
2007,369.2883915,57.937603706126794,13.01536465979056,6.775537703302,22.230842937287402,0.04065099349325201
2008,353.51573360000003,62.22487450838595,12.651007621234767,6.2453710263943965,18.82178168490999,0.05696515907488876
2009,370.0307258,60.48950251795549,10.768409681075191,5.894745106056271,22.807975720809726,0.03936697410331648
2010,371.69631780000003,63.88566112397469,9.757486411128498,6.081936655655511,20.239347418146522,0.0355683910947799
2011,384.9256505,64.58847010508592,10.09435693608057,6.516601158539837,18.754874040279113,0.04569776001456677
2012,416.4861345,65.18961146832608,9.64008366045617,6.238742192748797,18.86863506136721,0.06292761710174051
2013,419.0805715000001,66.25207520506589,8.997540894114199,5.930277610113452,18.744640420535454,0.07546587017098212
2014,421.14931440000004,67.9041062686816,8.20161517992964,6.428406333409431,17.38281837269447,0.08305384528485414
2015,420.89986330000005,69.65859226022702,8.125759921100927,7.003306883706465,15.135155592719812,0.07718534224575027
2016,444.74001509999994,68.7458712324894,7.155588438077562,6.356386841791966,17.681655783169937,0.0604977044711172
2017,466.08840890000005,67.84325135788632,7.529571177885602,6.995059880795074,17.56828722543243,0.06383035800056343
2018,448.3863168,68.58522632776292,5.874261705391988,6.438461415600451,19.018947993017797,0.08310255822686158
